hour,avg_pay,avg_miles,total_trips,earnings_per_hour
4,21.34,6.45,321164,73.28
2,19.94,5.02,386509,72.99
5,22.25,6.68,377888,72.31
1,19.49,4.86,515653,71.21
3,20.0,5.68,312953,71.07
6,22.05,5.88,582857,69.43
0,19.03,4.94,729862,67.78
22,19.67,4.96,1045076,66.86
21,19.71,4.91,1075793,66.84
23,19.11,4.94,937344,66.51
7,21.29,4.74,886173,66.11
20,19.31,4.72,1141299,64.92
8,20.19,4.21,1087210,64.12
19,18.67,4.25,1227877,62.46
9,19.13,4.32,990398,62.22
12,19.53,4.54,897252,61.56
10,18.88,4.44,893512,61.49
11,19.15,4.49,867339,61.38
13,19.88,4.53,944596,61.18
18,19.22,4.04,1267577,60.9
14,20.61,4.49,1024008,60.06
15,21.02,4.44,1056884,59.6
17,20.18,4.08,1218248,59.16
16,20.77,4.32,1097945,58.99
